category,datetime,headline,id,image,related,source,summary,url
company,2025-08-06 23:30:00,Janus Henderson Research Fund Q2 2025 Commentary,136243862,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1954841243/image_1954841243.jpg?io=getty-c-w1536,AAPL,SeekingAlpha,Janus Henderson Research Fund returned 20.45% and the Russell 1000Â® Growth Index returned 17.84%. Read more here.,https://finnhub.io/api/news?id=8bdafe5707eab551d698d890a4af790f39ae0cab799ae275e30daf9ded83a902
company,2025-08-06 13:33:42,"Stock market today: S&P 500, Nasdaq lead stocks higher as Apple surges",136238901,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,US stocks inched higher amid a tough batch of corporate earnings after the bell and persistent trade uncertainty.,https://finnhub.io/api/news?id=dcad025e6d7e41280a274d30a4bf09a4d00f21031f397f0a1a3c4eafc01d9fc0
company,2025-08-06 20:00:59,Apple set to dodge bulk of India tariffs,136240817,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,Apple is expected to dodge the nulk of Trump's India tariffs.,https://finnhub.io/api/news?id=e14db1e6e9b58f85e627ef4e99fda4c2e03676502f345310a4d8acbd40dda896
company,2025-08-06 19:51:12,Sector Update: Tech Stocks Rise Late Afternoon,136240808,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,Tech stocks rose late Wednesday afternoon with the Technology Select Sector SPDR Fund (XLK) adding 1,https://finnhub.io/api/news?id=0499121efe409403c82e07d9c1a9082ec767a39a6b4c69360f3806c42db6a491
company,2025-08-06 19:43:43,Stock Market Today: Dow Rises As Apple Soars; Chip Leader Dives On Earnings (Live Coverage),136240803,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,"The Dow Jones Industrial Average rose, and the Nasdaq shot higher Wednesday in another day packed with earnings reports from Corporate America.  Wall Street also weighed a Federal Reserve official saying an interest-rate cut would be appropriate.  Among big earnings movers in the stock market today were McDonald's, Advanced Micro Devices, and Super Micro Computer.",https://finnhub.io/api/news?id=94ea6c01f9c6decf07b0eb1e60401950ab38acf143266792386de86d99d64c2c
company,2025-08-06 19:37:39,Equity Markets Higher as Investors Weigh Latest Earnings,136240820,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,"US benchmark equity indexes are on track to close higher on Wednesday, as investors parse the latest",https://finnhub.io/api/news?id=fc1d7366ed35d67c37340ebea1461a0d282da11c279114e3b9702adb3a6ba363
company,2025-08-06 19:35:42,"Apple (AAPL) Shares Skyrocket, What You Need To Know",136240821,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,Shares of iPhone and iPad maker Apple (NASDAQ:AAPL) jumped 5.7% in the afternoon session after the company announced a new $100 billion commitment to American manufacturing.,https://finnhub.io/api/news?id=15fb1f6175290e50d3db2cdcf463e4d3fc74c856ad82e96932410361f99964a3
company,2025-08-06 18:59:00,Trump Exempts Tech Companies That Invest in U.S. From 100% Chip Tariffs,136295853,,AAPL,DowJones,Trump Exempts Tech Companies That Invest in U.S. From 100% Chip Tariffs,https://finnhub.io/api/news?id=4ce81741dff3430857d6d82f43772787f439f4b99cdf82087631a532501b1e08
company,2025-08-06 18:36:15,"Trump, Apple to Announce Fresh $100 Billion US Investment",136240822,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AAPL,Yahoo,"President Donald Trump plans to announce that Apple Inc. will commit to spending another $100 billion on domestic manufacturing, the latest pledge by the tech giant to increase US production of its products as it seeks to avoid punishing tariffs on its flagship iPhones. The announcement at the White House on Wednesday includes a new manufacturing program designed to bring more of Apple's supply chain to the US, with an eye toward assembling additional critical components domestically, according to a White House official who detailed the announcement on the condition of anonymity. Apple Chief Executive Officer Tim Cook is expected to attend the event. Bloomberg's Managing Editor for Global Consumer Tech Mark Gurman reports.",https://finnhub.io/api/news?id=9cd9f9018fc62af6f91b3c9a0dea5a23c8de12a68939c3534ac54918e9d87c31
company,2025-08-06 18:25:24,Apple Stock Rises On Company's New U.S. Investment Commitment,136295854,,AAPL,DowJones,Apple Stock Rises On Company's New U.S. Investment Commitment,https://finnhub.io/api/news?id=a2adbcfed5566e63d11d0a57d879a16621a581fb97507245393a56bc67d06d17
