description,cn:lastPubDate,dateModified,cn:dateline,cn:branding,section,cn:type,author,cn:source,cn:subtype,duration,summary,expires,cn:sectionSubType,cn:contentClassification,pubdateunix,_id,url,@id,datePublished,cn:promoImage,cn:title,cn:keyword,cn:liveURL,_pubDate,_type,_index,brand,hint,hint_detail
"Here are the biggest calls on Wall Street on Tuesday:JPMorgan initiates Firefly Aerospace at overweightJPMorgan said the company is going to be a ""leader"" in the space market.""We are initiating covera",2025-09-02T08:26:59+0000,2025-09-02T08:26:59+0000,,cnbc,Pro: Analyst Calls,cnbcnewsstory,Michael Bloom,[],,,Here are the biggest calls on Wall Street on Tuesday.,,['section'],['premium'],1756816019,904432,https://www.cnbc.com/2025/09/02/tuesday-research-by-analysts-include-nvidia-ferrari-walmart.html,108192863,2025-09-02T12:26:59+0000,https://image.cnbcfm.com/api/v1/image/107424722-17176127832024-06-05t103157z_1642672601_rc2v48ab8fg0_rtrmadp_0_taiwan-computex.jpeg?v=1719332827,"Here are Tuesday's biggest analyst calls: Nvidia, Apple, Broadcom, Ferrari, Walmart, McDonald's, Corning & more","analyst, upgrade, downgrade, price target",https://www.cnbc.com/2025/09/02/tuesday-research-by-analysts-include-nvidia-ferrari-walmart.html,9/2/2025 8:26:59 PM,0,0,cnbc,subscription,CNBC Pro
"Nvidia's latest earnings again highlighted its extraordinary success and undeniable market power: $46.7 billion in revenue, up 56 percent from a year earlier, and net income of $26.4 billion. Its fore",2025-08-31T08:30:01+0000,2025-08-31T08:30:01+0000,,cnbc,CNBC Global CFO Council,cnbcnewsstory,Dewardric L. McNeal,[],,,"Nvidia is being coy about chip sales in China, but the ultimate story may follow a well-known plot: Chinese chip local Cambricon doing what BYD did to Tesla.",,"['special_report', 'section']",[],1756643401,904307,https://www.cnbc.com/2025/08/31/nvidia-chips-china-byd-tesla.html,108192358,2025-08-31T12:30:01+0000,https://image.cnbcfm.com/api/v1/image/108174923-1753172600849-gettyimages-2224782286-AFP_66Z86KE.jpeg?v=1753172679,Op-ed: What Nvidia wouldn't say about China chip sales reveals everything you need to know,,https://www.cnbc.com/2025/08/31/nvidia-chips-china-byd-tesla.html,8/31/2025 8:30:01 PM,0,1,cnbc,,
"In Spike Lee's highly anticipated film ""Highest 2 Lowest,"" Denzel Washington plays hip-hop mogul David King, who resides in an apartment befitting the character's status.According to the Robb Report, ",2025-08-30T12:41:57+0000,2025-08-30T12:41:57+0000,,makeit,Real Estate|Life|Make It,cnbcnewsstory,Celia Fernandez,[],,,"In Spike Lee's ""Highest 2 Lowest,"" Denzel Washington's character lives in a penthouse at the Olympia Dumbo in NYC that will be on the market for $17.5 million.",,['section'],,1756566001,29398,https://www.cnbc.com/2025/08/30/look-inside-penthouse-spike-lee-highest-2-lowest-film.html,108189099,2025-08-30T15:00:01+0000,https://image.cnbcfm.com/api/v1/image/108189253-1755799376937-Untitled_design_20.png?v=1755799435,Look inside the $17 million Brooklyn penthouse Denzel Washington calls home in Spike Lee's new film 'Highest 2 Lowest',make it,https://www.cnbc.com/2025/08/30/look-inside-penthouse-spike-lee-highest-2-lowest-film.html,8/30/2025 11:00:01 PM,0,0,makeit,,
Elon Musk's artificial intelligence startup xAI has sued a former engineer at the company for allegedly stealing trade secrets related to its Grok chatbot and taking them to rival OpenAI.Musk's compan,2025-08-29T14:06:57+0000,2025-08-29T14:06:57+0000,,cnbc,AI - Artificial Intelligence,wirestory,,[],,,Elon Musk's AI startup xAI has sued a former engineer at the company for allegedly stealing trade secrets related to its Grok chatbot and taking them to OpenAI.,,['section'],[],1756490817,904230,https://www.cnbc.com/2025/08/29/musks-xai-sues-engineer-for-allegedly-taking-secrets-to-openai.html,108192589,2025-08-29T18:06:57+0000,https://image.cnbcfm.com/api/v1/image/108185314-1755093100714-Untitled-1.jpg?v=1755093168,Musk's xAI sues engineer for allegedly taking secrets to OpenAI,,https://www.cnbc.com/2025/08/29/musks-xai-sues-engineer-for-allegedly-taking-secrets-to-openai.html,8/30/2025 2:06:57 AM,0,2,cnbc,,
"Affirm stock popped 10% Friday after the buy now, pay later firm beat Wall Street's expectations across the board in its fiscal fourth-quarter results.CEO Max Levchin told CNBC on ""Money Movers"" Frida",2025-08-29T16:08:36+0000,2025-08-29T16:08:36+0000,,cnbc,Technology,cnbcnewsstory,MacKenzie Sigalos,[],,,"Going into the print, the big question was whether losing Walmart to rival Klarna would drag on results.",,"['section', 'marketsection']",[],1756474064,904182,https://www.cnbc.com/2025/08/29/affirm-stock-earnings.html,108192368,2025-08-29T13:27:44+0000,https://image.cnbcfm.com/api/v1/image/108129439-1744225477767-gettyimages-2198546816-TFSPI_12022025-4494.jpeg?v=1744226073,Affirm stock rises 10% as CEO Levchin notes continued consumer strength,,https://www.cnbc.com/2025/08/29/affirm-stock-earnings.html,8/29/2025 9:27:44 PM,0,3,cnbc,,
"Affirm shares rose 15% in extended trading on Thursday after the provider of buy now, pay later loans reported better-than-expected earnings and revenue for the fiscal fourth quarter.Here's how the co",2025-08-29T08:28:40+0000,2025-08-29T08:28:40+0000,,cnbc,Technology,cnbcnewsstory,Jennifer Elias,[],,,Affirm's earnings per share of 20 cents for the quarter was almost double what Wall Street expected.,,['section'],[],1756423627,904089,https://www.cnbc.com/2025/08/28/affirm-afrm-q4-2025-earnings-report.html,108192176,2025-08-28T23:27:07+0000,https://image.cnbcfm.com/api/v1/image/108027302-1724954436051-108027302-1724954167573-gettyimages-995761246-775159596.jpeg?v=1756420384,"Affirm's stock soars 15% on earnings, revenue beat",,https://www.cnbc.com/2025/08/28/affirm-afrm-q4-2025-earnings-report.html,8/29/2025 7:27:07 AM,0,4,cnbc,,
"Elon Musk's fervent promotion of Tesla's self-driving technology isn't doing much to win over prospective buyers.According to a new survey, more U.S. consumers say that Tesla's FSD, or Full Self-Drivi",2025-08-29T07:05:17+0000,2025-08-29T07:05:17+0000,,cnbc,Technology,cnbcnewsstory,Lora Kolodny,[],,,"Despite Elon Musk's exhaustive promotion of Tesla's FSD technology, U.S. consumers don't seem to want it.",,['section'],[],1756419259,904083,https://www.cnbc.com/2025/08/28/tesla-fsd-turns-away-more-us-consumers-than-attracts-survey-finds.html,108191659,2025-08-28T22:14:19+0000,https://image.cnbcfm.com/api/v1/image/108152755-17486318812025-05-30t185819z_1826852128_rc2iseaivnkr_rtrmadp_0_usa-trump.jpeg?v=1748633265,"Tesla FSD turns off more U.S. consumers than it attracts, survey finds",,https://www.cnbc.com/2025/08/28/tesla-fsd-turns-away-more-us-consumers-than-attracts-survey-finds.html,8/29/2025 6:14:19 AM,0,5,cnbc,,
Microsoft has largely relied on OpenAI's artificial intelligence models to power AI features in its key products. It's trying to lessen that dependence.The software company said Thursday that it's beg,2025-08-28T14:32:54+0000,2025-08-28T14:32:54+0000,,cnbc,AI Effect,cnbcnewsstory,Jordan Novet,[],,,"Microsoft wants to depend more on its own internally built artificial intelligence models for Copilot, which is available in Bing and Windows 11.",,"['special_report', 'section']",[],1756405974,904044,https://www.cnbc.com/2025/08/28/microsoft-tests-mai-1-preview-ai-model-boost-to-copilot-rival-openai.html,108192006,2025-08-28T18:32:54+0000,https://image.cnbcfm.com/api/v1/image/108192018-1756403834043-gettyimages-2207890426-MICROSOFT_COPILOT.jpeg?v=1756403916,Microsoft starts testing AI model that could escalate competition with OpenAI,,https://www.cnbc.com/2025/08/28/microsoft-tests-mai-1-preview-ai-model-boost-to-copilot-rival-openai.html,8/29/2025 2:32:54 AM,0,6,cnbc,,
"Altimeter Capital's Brad Gerstner joins CNBC's ""Halftime Report"" to give his read on Apple's AI prospects and his read on the Big Tech sector.",2025-08-28T13:21:26+0000,2025-08-28T13:21:26+0000,,cnbc,Halftime Report,cnbcvideo,,[],clips,140,"Altimeter Capital's Brad Gerstner joins CNBC's ""Halftime Report"" to give his read on Apple's AI prospects and his read on the Big Tech sector.",,"['news_show', 'marketsection', 'section']",[],1756401686,904028,https://www.cnbc.com/video/2025/08/28/altimeter-capitals-brad-gerstner-in-2025-i-have-to-say-siri-is-kind-of-garbage.html,108192001,2025-08-28T17:21:26+0000,https://image.cnbcfm.com/api/v1/image/108192002-17564014841756401482-41389379655-1080pnbcnews.jpg?v=1756401483,"Altimeter Capital's Brad Gerstner: In 2025, I have to say Siri is kind of garbage",,https://www.cnbc.com/video/2025/08/28/altimeter-capitals-brad-gerstner-in-2025-i-have-to-say-siri-is-kind-of-garbage.html,8/29/2025 1:21:26 AM,0,7,cnbc,,
"Hello, this is Spriha Srivastava, CNBC International's Executive Editor for Digital, writing from London. This week, I take a closer look at India's tightrope walk — tariffs from Washington, oil from ",2025-08-28T09:13:29+0000,2025-08-28T09:13:29+0000,,cnbc,Inside India,cnbcnewsstory,Spriha Srivastava,[],,,"India is walking a tightrope of tariffs from Washington, oil from Moscow, and an uneasy handshake with Beijing.",,"['special_report', 'section']",[],1756386809,903977,https://www.cnbc.com/2025/08/28/cnbcs-inside-india-newsletter-indias-three-way-balancing-act-tariffs-oil-and-uneasy-handshakes.html,108191132,2025-08-28T13:13:29+0000,https://image.cnbcfm.com/api/v1/image/107039623-1648729852027-gettyimages-1152489157-AFP_1HY3OT.jpeg?v=1756376351,"CNBC's Inside India newsletter: India’s three-way balancing act: Tariffs, oil, and uneasy handshakes",,https://www.cnbc.com/2025/08/28/cnbcs-inside-india-newsletter-indias-three-way-balancing-act-tariffs-oil-and-uneasy-handshakes.html,8/28/2025 9:13:29 PM,0,8,cnbc,,
Broadcom just got an upgrade before its earnings due next week.Oppenheimer analyst Rick Schafer reiterated his outperform rating and lifted his price target on Broadcom shares by $20 to $325 ahead of ,2025-08-28T09:00:36+0000,2025-08-28T09:00:36+0000,,cnbc,Pro: Analyst Calls,cnbcnewsstory,Pia Singh,[],,,Oppenheimer analyst Rick Schafer kept his outperform rating and lifted his price target on Broadcom shares by $20 to $325 ahead of earnings expected Sept. 4.,,['section'],['premium'],1756386036,903974,https://www.cnbc.com/2025/08/28/this-chipmaker-is-the-no-2-player-behind-nvidia-oppenheimer-says.html,108191809,2025-08-28T13:00:36+0000,https://image.cnbcfm.com/api/v1/image/108080298-1735318902300-gettyimages-2190940916-avils-notitle241227_npkKT.jpeg?v=1756384193,"This chipmaker is the 'no. 2' player behind Nvidia, Oppenheimer says",,https://www.cnbc.com/2025/08/28/this-chipmaker-is-the-no-2-player-behind-nvidia-oppenheimer-says.html,8/28/2025 9:00:36 PM,0,19,cnbc,subscription,CNBC Pro
